noise,seed,method,l1_spearman,l2_spearman
0.0,63,EntroPath,0.883206731283059,0.8849533542522012
0.0,64,Euclidean,0.5408876698018679,
0.0,64,Isomap,0.779740721363685,0.7007183983831256
0.0,64,Shortest Path,0.779740721363685,0.7420592361728914
0.0,64,Diffusion Maps,0.503741012921626,0.8905995531046306
0.0,64,PHATE,0.7386106319593733,0.7073959313342858
0.0,64,HeatGeo,0.7355007376143028,0.6746274646437334
0.0,64,DTNE,0.7817167638579049,0.7457609933885863
0.0,64,EntroPath,0.8709314928905895,0.862716229385714
0.0,65,Euclidean,0.5310016884440719,
0.0,65,Isomap,0.8193505525405347,0.7664116848349101
0.0,65,Shortest Path,0.8193505525405347,0.7890794788550433
0.0,65,Diffusion Maps,0.5058287882259448,0.9154035548990712
0.0,65,PHATE,0.7928318605045767,0.7842923190236261
0.0,65,HeatGeo,0.779904882698857,0.7367465351294266
0.0,65,DTNE,0.8072528333566183,0.7842531343539639
0.0,65,EntroPath,0.8519315487105416,0.86511401904631
0.0,66,Euclidean,0.5307168082727551,
0.0,66,Isomap,0.8179282881590947,0.7810596599801403
0.0,66,Shortest Path,0.8179282881590947,0.840864234945551
0.0,66,Diffusion Maps,0.4917838583345728,0.9054654415015316
0.0,66,PHATE,0.8114427752975588,0.8429095251995368
0.0,66,HeatGeo,0.7912108608192986,0.8513641675229507
0.0,66,DTNE,0.8688360133655417,0.8911182785394198
0.0,66,EntroPath,0.8689200404894641,0.8891036357067423
0.0,67,Euclidean,0.5190373237474594,
0.0,67,Isomap,0.8201204945062622,0.7628509643492919
0.0,67,Shortest Path,0.8201204945062622,0.7987879669414287
0.0,67,Diffusion Maps,0.5137906956503777,0.8965912056726563
0.0,67,PHATE,0.7888284563032268,0.7809033864492307
0.0,67,HeatGeo,0.7745292686373219,0.7470035697773812
0.0,67,DTNE,0.7977278720381211,0.7924841549919104
0.0,67,EntroPath,0.8400000230009901,0.8169808791828348
0.0,68,Euclidean,0.5349956026046057,
0.0,68,Isomap,0.8385757768659104,0.7714731861238427
0.0,68,Shortest Path,0.8385757768659104,0.8017885030600886
0.0,68,Diffusion Maps,0.5004310533434887,0.8885432296418481
0.0,68,PHATE,0.8055264512075858,0.7879167198208715
0.0,68,HeatGeo,0.7906359936079151,0.7483780050250352
0.0,68,DTNE,0.8086843441247651,0.7702733656325159
